factor,coef,t_stat,p_value
const,0.011416474518565515,4.992106566875416,1.055527764986554e-06
mkt_rf,0.2433471247869625,4.415196082656306,1.4462219383824041e-05
smb,0.020191671347710792,0.2117854977057642,0.8324295661328508
hml,0.10557743806356099,1.1516673625759932,0.25044726633611375
rmw,0.045110247191518835,0.39977213593524535,0.6896313355542537
cma,0.18887179971722748,1.3645347712729354,0.1735028180900473
