date,tsmom,tsmom_eq,tsmom_fi,tsmom_fx,tsmom_cm,val_everywhere,mom_everywhere,qmj_global,bab_global
2002-01-31,0.0159484269901,0.0353921474591,-0.0265669716441,0.0467137947557,0.0163035221916,0.009020741826602938,0.016396644033513843,0.033385218648288854,0.02742537397508333
2002-02-28,0.00448793125285,-0.00139951121748,0.0289101111053,0.00497633237457,-0.00677715913501,0.004567598812407538,0.025762636742961968,0.032362562184333685,0.06600356487187163
2002-03-31,-0.0499625370524,-0.0672699475454,-0.0442173182849,-0.0225240646267,-0.0603034878294,0.011172544836767993,-0.03539507483454147,-0.012680201699427405,0.021646081416549084
2002-04-30,0.0167648129763,0.0459248529782,-0.0271458474934,-0.0109387476542,0.0434665193786,0.0018694076764108854,0.022544486144525807,0.0183624565029593,0.10563427040183192
2002-05-31,0.0285960258019,0.047824757814,0.0265611910494,0.00937316079782,0.032098885957,0.023175919223969593,0.024224704923720437,0.007985670687377556,0.07463093090442031
2002-06-30,0.0613069954502,0.184151769072,0.128313640011,0.0615316755585,-0.0211674005155,-0.008847955676868179,0.03836712792776043,0.04110416340666885,0.08324691715357918
2002-07-31,0.0565956083227,0.185173939326,0.136849676999,-0.0561229601489,0.0212670645661,-0.007888677885432491,0.024603096630029898,0.04489037451848701,0.008088938302420735
2002-08-31,0.0331377612595,-0.00364930991779,0.123001445501,-0.00683851705582,0.0182448898114,-0.004024442380430083,0.011039343292424559,0.010059539487540736,0.019214381407269315
2002-09-30,0.0684994388667,0.16410187285,0.140148687404,0.0581689827984,-0.000996255467255,-0.019350099846190457,0.05635937195696253,0.0575790173761403,0.05842753713153354
2002-10-31,-0.0305178506282,-0.0935653682056,-0.0389579587147,0.0492572612552,-0.0421908622648,0.02736775036157725,-0.026570668689264134,-0.013492760137316838,-0.07875841729363327
2002-11-30,-0.00870303217282,-0.0555061572632,-0.0299960863581,0.0483982555988,-0.00816876646607,0.02861300550619471,-0.047992782369907006,-0.06165402577044231,-0.09842427327275508
2002-12-31,0.0929358944269,0.0919968401565,0.155226652034,0.0460639953307,0.0829831622892,-0.01459681863696135,0.0613207733707027,0.0408075498876592,0.1192476342926924
