model,n_obs,adj_r2,alpha_monthly,alpha_annualized,resid_vol_annualized,corr_fitted_actual
FF5 (same window),228,0.09461545035912988,0.009824963842887106,0.12448387488217572,0.13416752410566646,0.3384639439000593
Economist's Macro,228,0.3085935832961022,0.009681517080884338,0.12256856148314998,0.11724587412675766,0.5690543027893386
Greedy Best-Fit,228,0.4010913466602424,0.00914023540917909,0.1153682229005164,0.1091217092450009,0.6436483257326058
